age,annual_income,loan_amount,credit_history_years,existing_loans,credit_score,debt_to_income_ratio,employment_type,late_payments_last_year,defaulted
26,303193.0,412546.0,11,2,561.0,0.427,Salaried,0,0
26,645357.0,72163.0,16,1,767.0,0.075,Salaried,0,0
56,511056.0,350104.0,20,0,601.0,0.082,Self-Employed,0,0
42,712209.0,407219.0,24,3,714.0,0.237,Salaried,0,1
46,641870.0,323215.0,21,1,900.0,0.123,Self-Employed,0,0
47,297179.0,325416.0,1,1,604.0,0.266,Business Owner,0,0
52,194576.0,490279.0,14,4,533.0,1.125,Salaried,0,1
22,378662.0,334832.0,17,3,639.0,0.423,Salaried,0,1
42,764100.0,297885.0,23,1,671.0,0.099,Salaried,0,0
27,695405.0,250618.0,5,2,815.0,0.158,Salaried,1,0
38,690541.0,399522.0,13,0,720.0,0.069,Business Owner,1,0
61,157541.0,257456.0,11,1,773.0,0.45,Salaried,2,0
45,150000.0,399735.0,5,0,624.0,0.32,Self-Employed,0,0
24,464417.0,316144.0,21,3,679.0,0.34,Salaried,0,1
44,528374.0,471361.0,23,1,705.0,0.183,Business Owner,2,0
26,468735.0,181579.0,24,2,614.0,0.217,Salaried,0,0
54,679425.0,312173.0,14,3,705.0,0.232,Self-Employed,2,0
62,563684.0,353490.0,5,3,659.0,0.288,Salaried,0,0
64,340347.0,363137.0,2,0,700.0,0.128,Salaried,1,1
48,407600.0,471432.0,21,0,570.0,0.139,Self-Employed,0,0
59,632586.0,360162.0,15,4,518.0,0.321,Business Owner,0,0
37,617027.0,437124.0,3,2,792.0,0.215,Salaried,1,1
27,584641.0,596244.0,2,0,686.0,0.122,Salaried,0,0
43,1099745.0,427747.0,7,2,675.0,0.119,Salaried,0,0
40,543068.0,141354.0,13,2,890.0,0.179,Salaried,1,0
50,627233.0,85761.0,5,2,764.0,0.144,Salaried,0,0
64,381613.0,401559.0,2,4,719.0,0.546,Salaried,0,1
33,521674.0,243909.0,24,1,630.0,0.133,Salaried,1,0
58,715929.0,344427.0,12,4,713.0,0.281,Salaried,0,1
27,725290.0,274502.0,2,0,703.0,0.045,Self-Employed,0,0
36,565825.0,497380.0,13,0,664.0,0.105,Salaried,0,0
55,687282.0,481110.0,20,2,799.0,0.2,Business Owner,0,0
31,612448.0,130955.0,23,1,745.0,0.091,Business Owner,3,0
50,186357.0,341668.0,13,3,730.0,0.864,Salaried,0,1
41,150000.0,255279.0,20,3,619.0,1.004,Salaried,0,1
43,1108458.0,103539.0,18,2,629.0,0.083,Self-Employed,2,0
62,782802.0,397894.0,13,1,774.0,0.112,Salaried,1,0
56,587512.0,278886.0,2,1,704.0,0.125,Salaried,0,0
57,217632.0,367085.0,13,3,641.0,0.754,Self-Employed,0,1
45,319395.0,672855.0,11,0,711.0,0.253,Salaried,0,0
64,898300.0,500147.0,0,0,688.0,0.067,Self-Employed,0,0
64,150000.0,466421.0,13,1,651.0,0.64,Business Owner,0,1
26,528647.0,239106.0,15,3,672.0,0.281,Salaried,3,1
29,791084.0,122673.0,7,1,747.0,0.069,Salaried,0,0
34,631511.0,488028.0,0,4,713.0,0.346,Self-Employed,1,0
45,766054.0,254790.0,16,0,617.0,0.04,Salaried,1,0
57,571125.0,307062.0,1,0,627.0,0.065,Salaried,0,0
42,1126559.0,243787.0,2,2,709.0,0.097,Salaried,1,0
64,373841.0,315350.0,11,2,602.0,0.315,Salaried,0,0
36,300310.0,662012.0,2,1,696.0,0.398,Salaried,0,1
61,660397.0,252930.0,4,4,676.0,0.288,Salaried,0,0
47,914508.0,257835.0,16,2,582.0,0.121,Business Owner,1,0
52,587704.0,330625.0,2,2,493.0,0.204,Salaried,1,0
31,830781.0,342957.0,6,4,618.0,0.242,Salaried,1,0
47,483216.0,119688.0,2,4,684.0,0.361,Salaried,1,0
56,339240.0,33253.0,21,1,684.0,0.13,Salaried,0,1
60,907983.0,212250.0,12,2,785.0,0.116,Business Owner,2,0
59,945117.0,267588.0,14,3,685.0,0.161,Self-Employed,0,0
63,937288.0,181082.0,15,4,678.0,0.194,Salaried,0,0
26,503584.0,148567.0,22,0,714.0,0.035,Salaried,0,0
55,345854.0,157472.0,22,3,649.0,0.402,Business Owner,2,1
41,342738.0,239050.0,21,1,822.0,0.2,Salaried,2,0
51,550580.0,279981.0,15,4,638.0,0.352,Salaried,1,1
33,728136.0,52847.0,17,4,615.0,0.228,Self-Employed,1,1
21,712018.0,215005.0,13,3,643.0,0.205,Business Owner,0,0
24,284431.0,350512.0,24,3,780.0,0.57,Salaried,1,1
63,642938.0,278319.0,3,1,638.0,0.114,Business Owner,0,0
60,603901.0,92761.0,6,3,622.0,0.217,Self-Employed,0,1
34,619828.0,243078.0,3,4,730.0,0.305,Self-Employed,0,0
39,594787.0,293571.0,14,4,777.0,0.328,Salaried,1,0
31,555578.0,411695.0,12,2,649.0,0.233,Salaried,1,0
27,730521.0,52295.0,3,4,738.0,0.228,Self-Employed,1,1
58,627909.0,398777.0,8,3,630.0,0.267,Self-Employed,0,0
50,649590.0,226651.0,17,4,794.0,0.288,Business Owner,0,0
24,448034.0,326397.0,10,2,597.0,0.266,Salaried,1,0
29,687071.0,398206.0,20,3,660.0,0.244,Salaried,0,0
45,573347.0,165173.0,12,0,648.0,0.035,Business Owner,0,0
60,150000.0,174687.0,22,4,608.0,1.206,Salaried,0,1
64,706394.0,278467.0,24,2,676.0,0.161,Self-Employed,0,0
30,541854.0,404145.0,13,1,735.0,0.163,Business Owner,2,0
47,803782.0,213725.0,19,4,616.0,0.231,Salaried,1,0
22,564338.0,83313.0,23,2,834.0,0.159,Salaried,2,0
28,578937.0,190749.0,4,1,701.0,0.109,Business Owner,0,0
29,646572.0,352353.0,9,0,708.0,0.065,Business Owner,1,0
40,597392.0,468452.0,0,0,620.0,0.094,Self-Employed,0,0
36,501675.0,218628.0,8,0,676.0,0.052,Salaried,0,0
52,205496.0,245783.0,4,4,752.0,0.922,Salaried,0,1
41,1005391.0,267391.0,18,1,601.0,0.072,Salaried,2,0
35,252667.0,273914.0,3,2,626.0,0.447,Salaried,0,0
60,524865.0,152195.0,22,1,615.0,0.111,Salaried,0,1
48,743690.0,227752.0,10,0,576.0,0.037,Business Owner,0,1
51,683604.0,325898.0,2,3,731.0,0.233,Self-Employed,1,0
53,724799.0,309027.0,3,0,616.0,0.051,Business Owner,0,0
35,769222.0,296872.0,12,2,812.0,0.15,Salaried,0,0
60,877942.0,143084.0,6,4,580.0,0.202,Salaried,1,0
21,665402.0,211324.0,11,0,653.0,0.038,Salaried,1,0
34,1239461.0,186829.0,5,2,684.0,0.083,Salaried,0,0
28,377049.0,450506.0,0,2,601.0,0.356,Self-Employed,0,1
21,650023.0,510664.0,7,1,509.0,0.156,Salaried,0,0
64,520612.0,344579.0,2,1,628.0,0.156,Salaried,2,0
24,480070.0,531685.0,19,2,679.0,0.3,Business Owner,0,0
41,663198.0,249729.0,20,3,604.0,0.226,Self-Employed,0,1
57,920813.0,250450.0,17,3,702.0,0.163,Salaried,0,0
51,443754.0,100045.0,23,3,532.0,0.297,Salaried,0,0
58,443590.0,328155.0,16,3,704.0,0.359,Business Owner,0,0
23,759388.0,225966.0,14,4,848.0,0.246,Salaried,1,0
42,719679.0,307734.0,17,3,757.0,0.218,Self-Employed,0,0
22,1030707.0,366689.0,6,4,760.0,0.198,Salaried,2,0
29,826134.0,257975.0,2,4,652.0,0.231,Salaried,2,0
58,650510.0,126714.0,24,2,646.0,0.146,Self-Employed,0,0
24,527538.0,287592.0,8,3,770.0,0.293,Business Owner,1,1
46,647358.0,283527.0,10,1,654.0,0.114,Salaried,0,1
21,561452.0,298591.0,3,0,732.0,0.064,Self-Employed,1,0
34,299680.0,395029.0,3,2,602.0,0.425,Salaried,0,1
62,601812.0,262672.0,12,2,711.0,0.185,Salaried,1,0
34,561473.0,254905.0,19,1,694.0,0.126,Salaried,0,0
34,548841.0,552841.0,6,0,502.0,0.121,Self-Employed,2,1
24,505552.0,454768.0,17,2,671.0,0.266,Business Owner,0,1
55,971815.0,281619.0,24,4,726.0,0.199,Self-Employed,0,0
28,753179.0,156286.0,17,3,723.0,0.184,Salaried,0,0
42,806110.0,229169.0,16,0,710.0,0.034,Business Owner,0,0
22,466312.0,352370.0,9,3,783.0,0.348,Self-Employed,0,0
21,375023.0,421217.0,2,2,675.0,0.348,Salaried,0,0
57,537766.0,653937.0,7,2,619.0,0.295,Salaried,1,0
21,653696.0,259924.0,0,3,753.0,0.231,Self-Employed,1,0
41,524028.0,319441.0,5,1,850.0,0.149,Self-Employed,0,0
39,558590.0,244121.0,20,3,653.0,0.267,Salaried,1,0
26,811512.0,309274.0,15,0,802.0,0.046,Salaried,0,0
49,665829.0,240648.0,8,1,666.0,0.103,Business Owner,0,1
53,383517.0,138954.0,7,4,561.0,0.461,Self-Employed,1,0
64,505840.0,449772.0,16,4,609.0,0.423,Self-Employed,0,1
29,455341.0,317192.0,18,4,611.0,0.435,Salaried,0,1
61,639806.0,489180.0,3,3,774.0,0.279,Salaried,0,1
23,343205.0,223820.0,22,3,689.0,0.428,Salaried,0,0
27,560676.0,337821.0,19,2,636.0,0.215,Salaried,0,0
47,752381.0,396566.0,21,4,691.0,0.276,Salaried,1,0
59,606319.0,20552.0,7,1,793.0,0.07,Self-Employed,2,0
60,398947.0,103506.0,0,0,674.0,0.031,Business Owner,0,0
53,464389.0,410971.0,3,3,622.0,0.365,Self-Employed,0,1
22,627357.0,314635.0,16,3,709.0,0.251,Self-Employed,0,1
39,706278.0,27572.0,12,3,613.0,0.175,Self-Employed,1,0
56,784155.0,190586.0,1,1,721.0,0.08,Salaried,2,0
44,568053.0,144383.0,7,4,760.0,0.312,Salaried,1,1
29,310205.0,228855.0,7,4,695.0,0.604,Self-Employed,0,1
50,913498.0,529694.0,8,0,646.0,0.07,Salaried,0,0
25,665535.0,215748.0,7,2,690.0,0.159,Salaried,0,0
51,689336.0,601528.0,21,1,567.0,0.163,Salaried,0,1
21,667214.0,263896.0,13,2,806.0,0.167,Salaried,1,0
36,371752.0,192598.0,24,2,870.0,0.277,Self-Employed,0,1
33,529753.0,533793.0,1,1,682.0,0.196,Salaried,0,0
62,656597.0,442222.0,6,4,515.0,0.325,Self-Employed,1,0
52,827178.0,506420.0,5,2,626.0,0.17,Business Owner,1,0
49,613240.0,590438.0,13,0,564.0,0.116,Salaried,0,0
42,150000.0,460218.0,23,4,530.0,1.435,Self-Employed,2,1
33,546903.0,484028.0,18,4,669.0,0.399,Self-Employed,0,0
58,677584.0,48292.0,0,4,667.0,0.245,Self-Employed,2,0
62,884656.0,181139.0,11,1,630.0,0.07,Salaried,1,0
30,756490.0,369156.0,8,1,769.0,0.111,Salaried,0,0
31,1147846.0,334241.0,6,2,683.0,0.105,Self-Employed,1,0
34,913355.0,410999.0,12,4,602.0,0.229,Salaried,0,0
41,896486.0,233864.0,13,4,713.0,0.21,Salaried,0,1
32,807413.0,469568.0,2,4,579.0,0.268,Self-Employed,1,0
38,295864.0,604297.0,23,3,652.0,0.651,Salaried,1,0
64,786351.0,392161.0,7,2,613.0,0.162,Salaried,0,0
37,731887.0,429827.0,23,4,704.0,0.289,Salaried,0,0
62,484275.0,381229.0,15,2,658.0,0.26,Salaried,0,1
43,729062.0,443991.0,2,0,633.0,0.073,Salaried,0,0
35,691975.0,338358.0,8,4,701.0,0.29,Salaried,0,0
62,497696.0,232027.0,8,4,718.0,0.377,Salaried,2,0
40,572854.0,336165.0,13,3,700.0,0.28,Self-Employed,0,0
55,542075.0,323117.0,16,2,770.0,0.219,Self-Employed,0,0
34,650705.0,80570.0,23,2,596.0,0.138,Salaried,1,0
64,506593.0,341842.0,18,1,712.0,0.16,Self-Employed,2,0
53,719881.0,311136.0,2,4,814.0,0.274,Business Owner,1,0
59,178131.0,338048.0,9,1,681.0,0.452,Salaried,0,1
22,537976.0,225856.0,16,2,503.0,0.199,Business Owner,0,0
25,229369.0,378691.0,1,1,758.0,0.373,Salaried,0,0
23,493762.0,399759.0,0,3,664.0,0.34,Salaried,0,0
44,713726.0,202225.0,12,0,732.0,0.034,Salaried,4,0
38,604755.0,354952.0,9,4,702.0,0.335,Business Owner,3,1
64,575660.0,422711.0,9,1,730.0,0.158,Business Owner,1,0
31,615134.0,417154.0,17,1,778.0,0.146,Salaried,0,0
28,945290.0,170033.0,22,0,690.0,0.022,Salaried,1,0
58,356625.0,154542.0,23,4,743.0,0.501,Salaried,3,1
34,795301.0,309661.0,15,2,576.0,0.147,Self-Employed,1,1
53,267229.0,150243.0,11,0,608.0,0.067,Salaried,0,0
33,497163.0,675936.0,10,2,670.0,0.324,Salaried,0,1
45,635991.0,184291.0,15,2,807.0,0.161,Salaried,1,0
24,412630.0,185920.0,1,1,614.0,0.151,Self-Employed,0,1
50,645130.0,399224.0,12,3,652.0,0.26,Self-Employed,0,0
61,760312.0,233172.0,23,3,733.0,0.195,Self-Employed,0,0
51,337377.0,20000.0,2,4,638.0,0.481,Salaried,0,1
59,582978.0,279961.0,0,3,576.0,0.263,Salaried,0,0
55,517155.0,154615.0,2,1,522.0,0.113,Salaried,0,0
45,173116.0,222666.0,5,4,743.0,1.079,Self-Employed,0,1
61,558844.0,60252.0,13,4,589.0,0.299,Salaried,0,0
42,424490.0,164901.0,17,4,708.0,0.424,Salaried,1,1
27,894599.0,273877.0,21,3,721.0,0.171,Salaried,0,0
45,407376.0,286024.0,18,1,600.0,0.182,Business Owner,0,1
48,973884.0,131682.0,6,4,716.0,0.181,Salaried,0,0
28,482642.0,189877.0,5,4,508.0,0.379,Salaried,0,1
27,1026392.0,169188.0,18,1,671.0,0.059,Salaried,1,0
50,718666.0,315667.0,6,0,596.0,0.053,Business Owner,1,0
40,699846.0,272301.0,15,2,698.0,0.161,Salaried,0,0
42,777257.0,108872.0,12,1,696.0,0.068,Salaried,0,0
55,798508.0,388746.0,8,2,694.0,0.159,Salaried,0,0
51,908724.0,189783.0,20,1,729.0,0.069,Business Owner,2,0
60,981196.0,350509.0,16,4,628.0,0.206,Salaried,0,1
28,523723.0,156900.0,2,3,564.0,0.265,Business Owner,0,0
54,324970.0,336359.0,1,4,580.0,0.617,Salaried,0,0
44,150000.0,274353.0,21,2,760.0,0.753,Salaried,0,1
22,514804.0,300013.0,6,0,596.0,0.07,Business Owner,2,0
24,767255.0,366256.0,6,4,652.0,0.266,Salaried,0,0
36,683240.0,356527.0,9,4,708.0,0.297,Salaried,2,0
49,625341.0,315970.0,11,0,667.0,0.061,Self-Employed,1,1
28,522957.0,315606.0,16,1,600.0,0.149,Self-Employed,1,0
44,459202.0,103168.0,18,2,510.0,0.201,Self-Employed,0,0
64,537592.0,280989.0,0,2,755.0,0.212,Salaried,1,0
27,685575.0,20000.0,9,0,633.0,0.004,Business Owner,2,1
27,211786.0,20000.0,1,0,549.0,0.011,Salaried,0,1
63,760363.0,245099.0,24,3,628.0,0.197,Self-Employed,0,1
31,279139.0,258258.0,23,2,683.0,0.398,Self-Employed,1,0
59,565185.0,512588.0,21,2,522.0,0.25,Salaried,1,1
36,460406.0,389870.0,13,4,691.0,0.449,Salaried,0,1
54,518703.0,455559.0,8,3,680.0,0.337,Self-Employed,0,0
23,369493.0,245827.0,22,2,716.0,0.296,Business Owner,0,0
48,345741.0,357398.0,12,4,680.0,0.587,Self-Employed,1,1
59,548658.0,464347.0,24,0,599.0,0.102,Business Owner,1,0
35,360633.0,370551.0,9,4,548.0,0.567,Business Owner,1,1
48,1140159.0,345050.0,4,4,663.0,0.177,Business Owner,1,0
30,507373.0,308312.0,8,3,637.0,0.309,Business Owner,0,0
28,454444.0,157126.0,9,2,802.0,0.218,Salaried,1,0
21,477801.0,161284.0,2,3,656.0,0.292,Self-Employed,0,1
42,362892.0,81838.0,24,0,712.0,0.027,Salaried,0,0
43,150000.0,354536.0,18,1,684.0,0.55,Business Owner,2,1
24,542246.0,254236.0,0,3,538.0,0.278,Salaried,1,1
31,666809.0,194660.0,18,1,739.0,0.095,Self-Employed,0,0
47,267637.0,347452.0,24,0,642.0,0.156,Self-Employed,0,1
37,599668.0,210067.0,10,3,563.0,0.242,Salaried,2,1
31,332289.0,449938.0,24,3,712.0,0.524,Self-Employed,0,0
21,590549.0,578067.0,9,4,778.0,0.388,Business Owner,2,0
22,677421.0,362512.0,18,2,669.0,0.182,Self-Employed,1,0
49,705166.0,193637.0,4,1,656.0,0.09,Self-Employed,0,0
26,694074.0,74445.0,9,1,627.0,0.071,Salaried,1,1
58,443386.0,594138.0,19,4,644.0,0.522,Salaried,0,1
45,791906.0,363034.0,16,2,767.0,0.156,Self-Employed,1,0
32,499681.0,122191.0,24,2,685.0,0.189,Self-Employed,0,1
49,675228.0,455494.0,0,1,712.0,0.14,Business Owner,0,0
28,753223.0,49478.0,9,2,724.0,0.114,Salaried,0,0
35,531275.0,231208.0,8,2,444.0,0.203,Salaried,1,1
42,315580.0,261328.0,0,1,691.0,0.226,Business Owner,0,0
49,733120.0,243246.0,0,2,724.0,0.149,Salaried,0,0
27,352346.0,127754.0,8,3,696.0,0.384,Salaried,0,0
36,402077.0,651867.0,10,2,559.0,0.394,Salaried,0,0
25,355522.0,237785.0,11,4,615.0,0.53,Self-Employed,2,1
26,783455.0,353729.0,17,0,732.0,0.054,Salaried,1,0
30,562155.0,302126.0,8,3,711.0,0.278,Salaried,0,0
34,150000.0,59609.0,0,2,714.0,0.581,Salaried,0,1
60,759709.0,215561.0,17,1,586.0,0.087,Salaried,1,0
38,1053617.0,328137.0,22,4,700.0,0.189,Salaried,1,1
25,994019.0,435381.0,0,3,794.0,0.173,Self-Employed,0,0
61,473035.0,245933.0,2,4,681.0,0.401,Self-Employed,0,1
46,614969.0,351713.0,5,3,786.0,0.264,Business Owner,0,0
26,709865.0,247033.0,5,2,747.0,0.154,Salaried,0,0
24,794453.0,384757.0,6,0,744.0,0.058,Business Owner,1,0
24,605525.0,20000.0,9,3,624.0,0.202,Salaried,0,1
61,357046.0,386739.0,8,1,626.0,0.242,Salaried,1,0
45,763847.0,205131.0,2,0,624.0,0.032,Salaried,0,0
50,733123.0,211462.0,5,2,770.0,0.144,Salaried,0,0
63,305019.0,20000.0,18,3,778.0,0.401,Salaried,0,1
38,516929.0,139590.0,22,1,595.0,0.11,Business Owner,0,1
60,656853.0,389004.0,16,0,575.0,0.071,Salaried,0,0
38,597022.0,641660.0,24,0,688.0,0.129,Salaried,2,0
51,712970.0,193305.0,14,0,782.0,0.033,Salaried,1,0
57,772605.0,199726.0,10,1,700.0,0.083,Salaried,1,0
23,716726.0,371140.0,10,3,728.0,0.23,Salaried,0,0
53,572248.0,340903.0,18,3,716.0,0.281,Salaried,1,0
56,300706.0,210770.0,14,1,724.0,0.217,Salaried,0,0
63,732925.0,273283.0,15,0,667.0,0.045,Salaried,0,0
51,905708.0,241328.0,9,2,716.0,0.12,Salaried,0,0
42,1032060.0,390646.0,18,1,732.0,0.084,Salaried,0,0
27,590046.0,416760.0,16,0,669.0,0.085,Salaried,1,0
54,589482.0,560736.0,14,0,812.0,0.114,Self-Employed,0,0
41,915542.0,435439.0,22,1,593.0,0.101,Self-Employed,0,0
56,913839.0,398248.0,11,2,647.0,0.14,Business Owner,0,0
23,672180.0,322312.0,19,0,611.0,0.058,Business Owner,3,0
36,754001.0,438670.0,8,2,763.0,0.176,Business Owner,0,1
56,429644.0,152358.0,9,4,764.0,0.415,Salaried,0,0
47,725620.0,620669.0,11,1,618.0,0.158,Business Owner,1,1
52,415317.0,341237.0,22,0,684.0,0.099,Salaried,1,0
46,565099.0,509927.0,0,1,642.0,0.179,Self-Employed,0,1
56,569922.0,180762.0,7,4,569.0,0.319,Salaried,1,1
57,493846.0,453208.0,18,4,614.0,0.434,Salaried,1,1
54,150000.0,359333.0,16,0,704.0,0.287,Business Owner,3,1
50,415145.0,271860.0,4,3,723.0,0.368,Salaried,0,1
32,670229.0,199943.0,18,1,620.0,0.095,Business Owner,3,1
24,583513.0,168368.0,0,2,678.0,0.172,Self-Employed,0,1
55,510284.0,568109.0,10,3,743.0,0.369,Salaried,0,0
36,691207.0,481910.0,15,2,788.0,0.199,Salaried,1,0
31,748409.0,317027.0,21,3,705.0,0.211,Business Owner,0,0
21,783343.0,329033.0,21,3,613.0,0.204,Salaried,1,0
27,419185.0,191434.0,24,0,553.0,0.055,Salaried,1,1
22,601371.0,25775.0,3,3,683.0,0.205,Salaried,0,0
38,523059.0,32481.0,3,1,653.0,0.084,Self-Employed,0,0
34,403271.0,209118.0,0,2,632.0,0.261,Salaried,0,1
42,267186.0,276846.0,1,0,623.0,0.124,Salaried,3,0
46,574787.0,124892.0,8,1,633.0,0.096,Salaried,2,1
33,404335.0,419049.0,7,1,690.0,0.223,Salaried,0,0
44,1070122.0,377052.0,14,4,732.0,0.192,Salaried,1,0
47,574649.0,323996.0,0,1,613.0,0.137,Salaried,0,1
50,546951.0,36978.0,13,2,826.0,0.154,Self-Employed,0,0
47,508851.0,267797.0,24,2,791.0,0.22,Salaried,0,0
22,1008959.0,295432.0,20,4,659.0,0.194,Business Owner,0,0
31,389124.0,111298.0,6,3,703.0,0.343,Salaried,0,1
55,560910.0,20000.0,17,0,799.0,0.004,Salaried,1,0
48,427004.0,586532.0,3,0,606.0,0.165,Self-Employed,3,0
34,568900.0,392807.0,19,2,630.0,0.223,Salaried,0,0
36,588450.0,242334.0,14,3,630.0,0.253,Self-Employed,0,1
61,838084.0,539037.0,8,0,598.0,0.077,Self-Employed,0,0
53,284752.0,466251.0,23,4,735.0,0.758,Salaried,1,1
37,591721.0,366983.0,8,4,661.0,0.345,Salaried,0,0
33,951931.0,333726.0,21,1,686.0,0.084,Salaried,1,0
26,484153.0,416636.0,18,2,685.0,0.269,Salaried,2,0
56,557260.0,519017.0,21,3,663.0,0.327,Salaried,1,1
48,401169.0,310378.0,2,0,799.0,0.093,Salaried,0,0
39,150000.0,265363.0,4,2,666.0,0.746,Salaried,0,1
51,573281.0,387133.0,20,2,611.0,0.221,Salaried,0,0
45,854940.0,20000.0,6,1,570.0,0.05,Salaried,0,1
44,493373.0,313083.0,18,1,625.0,0.157,Salaried,0,1
50,190043.0,238899.0,2,2,694.0,0.572,Self-Employed,1,1
54,654899.0,297298.0,15,1,692.0,0.116,Self-Employed,1,0
43,613668.0,272283.0,17,0,702.0,0.053,Salaried,0,0
39,816375.0,350467.0,6,0,646.0,0.052,Self-Employed,0,0
32,796591.0,315587.0,8,3,714.0,0.198,Salaried,0,0
34,536835.0,310038.0,15,4,715.0,0.367,Salaried,0,0
64,684246.0,280046.0,16,2,584.0,0.166,Salaried,0,0
29,200412.0,368063.0,13,3,711.0,0.819,Salaried,2,1
25,841310.0,223801.0,0,1,712.0,0.079,Salaried,2,0
48,637174.0,447258.0,9,2,658.0,0.21,Business Owner,0,1
35,835023.0,47530.0,18,0,766.0,0.007,Self-Employed,0,0
25,830069.0,330457.0,6,3,684.0,0.192,Salaried,0,0
45,533044.0,367727.0,3,4,620.0,0.383,Business Owner,0,1
53,563384.0,109304.0,13,4,754.0,0.307,Self-Employed,0,0
22,403810.0,235430.0,24,3,820.0,0.367,Business Owner,0,0
42,150000.0,498516.0,22,0,588.0,0.399,Salaried,2,1
27,567226.0,280197.0,6,0,674.0,0.059,Self-Employed,0,0
46,630062.0,167612.0,5,0,749.0,0.032,Self-Employed,1,0
56,357383.0,20000.0,12,3,728.0,0.342,Salaried,0,0
56,752857.0,351016.0,14,0,760.0,0.056,Salaried,0,0
55,617923.0,315271.0,20,0,783.0,0.061,Self-Employed,0,0
33,696056.0,391476.0,3,3,538.0,0.24,Business Owner,0,1
49,426940.0,607372.0,15,2,734.0,0.358,Salaried,1,0
49,208067.0,299388.0,1,4,551.0,0.942,Salaried,0,1
60,767402.0,320038.0,2,0,605.0,0.05,Salaried,0,0
51,730681.0,197041.0,1,0,593.0,0.032,Self-Employed,0,0
54,572102.0,290742.0,23,4,718.0,0.341,Salaried,2,1
25,503617.0,295640.0,24,0,548.0,0.07,Business Owner,2,1
34,535316.0,413247.0,18,3,687.0,0.317,Self-Employed,0,0
37,566134.0,383076.0,10,0,560.0,0.081,Salaried,0,0
49,484319.0,185401.0,18,3,838.0,0.294,Self-Employed,1,0
59,153848.0,228674.0,14,3,637.0,0.958,Salaried,1,1
35,768799.0,506791.0,12,1,678.0,0.131,Business Owner,0,0
42,267414.0,156033.0,7,3,586.0,0.519,Salaried,0,1
53,523043.0,412084.0,4,1,633.0,0.171,Salaried,2,0
29,528806.0,543607.0,0,3,783.0,0.35,Salaried,0,0
37,653765.0,398036.0,16,0,699.0,0.073,Salaried,2,0
29,241384.0,337970.0,22,2,587.0,0.499,Salaried,0,1
27,861978.0,504703.0,7,4,639.0,0.256,Business Owner,1,0
51,740767.0,353031.0,1,4,667.0,0.273,Self-Employed,1,0
59,766035.0,298644.0,20,0,818.0,0.047,Business Owner,0,0
27,875588.0,269541.0,5,3,670.0,0.174,Self-Employed,1,0
51,421303.0,472226.0,8,3,714.0,0.419,Salaried,0,1
51,150000.0,404273.0,12,0,763.0,0.323,Self-Employed,0,1
53,670456.0,531675.0,16,1,869.0,0.155,Salaried,1,0
51,886176.0,249621.0,15,2,731.0,0.124,Salaried,1,0
45,853353.0,253055.0,13,0,594.0,0.036,Salaried,0,0
26,479994.0,234603.0,10,3,601.0,0.309,Self-Employed,0,1
55,577840.0,341988.0,3,0,815.0,0.071,Salaried,1,0
29,661005.0,196116.0,24,3,712.0,0.217,Salaried,1,1
40,200602.0,438854.0,17,1,526.0,0.462,Salaried,1,0
62,451621.0,350804.0,3,1,639.0,0.182,Self-Employed,1,1
45,458486.0,152731.0,24,0,643.0,0.04,Business Owner,0,0
33,946984.0,20000.0,22,4,652.0,0.171,Salaried,0,0
23,455419.0,26037.0,1,4,730.0,0.358,Salaried,0,0
32,944465.0,515685.0,12,0,733.0,0.066,Salaried,0,0
45,601994.0,290721.0,14,3,786.0,0.257,Self-Employed,2,0
58,230291.0,322002.0,10,4,529.0,0.863,Salaried,0,1
